day	hour	value
1	1	104
1	2	66
1	3	85
1	4	92
1	5	39
1	6	58
1	7	69
1	8	87
1	9	242
1	10	131
1	11	81
1	12	207
1	13	74
1	14	96
1	15	26
1	16	43
1	17	209
1	18	259
1	19	62
1	20	118
1	21	125
1	22	181
1	23	61
1	24	125
1	25	49
1	26	403
1	27	482
1	28	36
1	29	51
1	30	45
1	31	194
1	32	93
1	33	88
1	34	200
1	35	80
1	36	0
1	37	0
2	1	121
2	2	62
2	3	91
2	4	92
2	5	49
2	6	76
2	7	73
2	8	95
2	9	257
2	10	111
2	11	82
2	12	229
2	13	95
2	14	105
2	15	30
2	16	33
2	17	190
2	18	269
2	19	76
2	20	129
2	21	125
2	22	186
2	23	70
2	24	141
2	25	53
2	26	431
2	27	473
2	28	45
2	29	61
2	30	51
2	31	220
2	32	84
2	33	75
2	34	202
2	35	84
2	36	1
2	37	0
3	1	100
3	2	58
3	3	77
3	4	94
3	5	49
3	6	66
3	7	73
3	8	82
3	9	252
3	10	117
3	11	92
3	12	201
3	13	95
3	14	95
3	15	18
3	16	34
3	17	221
3	18	265
3	19	69
3	20	142
3	21	117
3	22	176
3	23	87
3	24	158
3	25	49
3	26	406
3	27	453
3	28	43
3	29	52
3	30	45
3	31	254
3	32	94
3	33	97
3	34	199
3	35	59
3	36	0
3	37	0
4	1	102
4	2	61
4	3	73
4	4	80
4	5	49
4	6	73
4	7	61
4	8	79
4	9	251
4	10	110
4	11	81
4	12	181
4	13	83
4	14	94
4	15	27
4	16	39
4	17	227
4	18	272
4	19	64
4	20	118
4	21	116
4	22	167
4	23	83
4	24	131
4	25	55
4	26	355
4	27	474
4	28	49
4	29	62
4	30	47
4	31	218
4	32	107
4	33	107
4	34	191
4	35	74
4	36	0
4	37	0
5	1	129
5	2	71
5	3	89
5	4	97
5	5	48
5	6	73
5	7	78
5	8	104
5	9	281
5	10	124
5	11	111
5	12	194
5	13	87
5	14	95
5	15	24
5	16	45
5	17	221
5	18	273
5	19	78
5	20	140
5	21	120
5	22	169
5	23	77
5	24	150
5	25	61
5	26	358
5	27	485
5	28	42
5	29	78
5	30	58
5	31	266
5	32	91
5	33	102
5	34	209
5	35	78
5	36	0
5	37	0
6	1	46
6	2	16
6	3	29
6	4	5
6	5	31
6	6	23
6	7	20
6	8	24
6	9	130
6	10	25
6	11	42
6	12	8
6	13	14
6	14	24
6	15	18
6	16	19
6	17	113
6	18	58
6	19	12
6	20	15
6	21	20
6	22	29
6	23	28
6	24	31
6	25	24
6	26	28
6	27	62
6	28	35
6	29	30
6	30	58
6	31	51
6	32	17
6	33	57
6	34	22
6	35	15
6	36	0
6	37	0
7	1	22
7	2	8
7	3	24
7	4	8
7	5	29
7	6	17
7	7	31
7	8	11
7	9	71
7	10	20
7	11	39
7	12	20
7	13	9
7	14	15
7	15	9
7	16	16
7	17	103
7	18	54
7	19	10
7	20	13
7	21	17
7	22	19
7	23	18
7	24	27
7	25	19
7	26	23
7	27	33
7	28	23
7	29	11
7	30	25
7	31	33
7	32	14
7	33	51
7	34	28
7	35	6
7	36	0
7	37	1
