day	hour	value
1	1	125
1	2	77
1	3	114
1	4	99
1	5	46
1	6	83
1	7	85
1	8	95
1	9	306
1	10	175
1	11	87
1	12	271
1	13	108
1	14	112
1	15	36
1	16	55
1	17	283
1	18	329
1	19	74
1	20	131
1	21	151
1	22	224
1	23	87
1	24	128
1	25	57
1	26	555
1	27	526
1	28	41
1	29	94
1	30	42
1	31	310
1	32	99
1	33	113
1	34	291
1	35	81
1	36	27
1	37	9
2	1	108
2	2	74
2	3	115
2	4	81
2	5	58
2	6	87
2	7	99
2	8	110
2	9	314
2	10	171
2	11	109
2	12	256
2	13	110
2	14	120
2	15	41
2	16	50
2	17	288
2	18	383
2	19	83
2	20	127
2	21	174
2	22	232
2	23	106
2	24	152
2	25	56
2	26	524
2	27	571
2	28	63
2	29	84
2	30	46
2	31	307
2	32	120
2	33	105
2	34	297
2	35	80
2	36	29
2	37	7
3	1	118
3	2	67
3	3	99
3	4	105
3	5	46
3	6	81
3	7	85
3	8	112
3	9	321
3	10	180
3	11	100
3	12	239
3	13	117
3	14	118
3	15	36
3	16	54
3	17	265
3	18	352
3	19	86
3	20	139
3	21	152
3	22	237
3	23	96
3	24	134
3	25	64
3	26	501
3	27	557
3	28	51
3	29	68
3	30	51
3	31	292
3	32	126
3	33	142
3	34	302
3	35	78
3	36	27
3	37	11
4	1	79
4	2	55
4	3	84
4	4	83
4	5	50
4	6	78
4	7	77
4	8	72
4	9	251
4	10	131
4	11	76
4	12	191
4	13	93
4	14	80
4	15	30
4	16	55
4	17	239
4	18	257
4	19	58
4	20	107
4	21	113
4	22	175
4	23	85
4	24	126
4	25	57
4	26	333
4	27	457
4	28	38
4	29	56
4	30	32
4	31	235
4	32	103
4	33	89
4	34	232
4	35	58
4	36	22
4	37	7
5	1	77
5	2	41
5	3	70
5	4	64
5	5	43
5	6	56
5	7	65
5	8	77
5	9	241
5	10	112
5	11	76
5	12	152
5	13	77
5	14	66
5	15	37
5	16	34
5	17	187
5	18	213
5	19	66
5	20	105
5	21	96
5	22	158
5	23	62
5	24	94
5	25	40
5	26	346
5	27	305
5	28	45
5	29	66
5	30	48
5	31	201
5	32	88
5	33	81
5	34	187
5	35	75
5	36	29
5	37	21
6	1	45
6	2	26
6	3	35
6	4	13
6	5	39
6	6	17
6	7	68
6	8	22
6	9	146
6	10	23
6	11	54
6	12	14
6	13	11
6	14	10
6	15	17
6	16	24
6	17	188
6	18	84
6	19	14
6	20	9
6	21	16
6	22	32
6	23	42
6	24	45
6	25	30
6	26	25
6	27	40
6	28	50
6	29	20
6	30	46
6	31	73
6	32	25
6	33	62
6	34	29
6	35	17
6	36	8
6	37	5
7	1	41
7	2	18
7	3	31
7	4	13
7	5	29
7	6	22
7	7	47
7	8	23
7	9	139
7	10	34
7	11	40
7	12	23
7	13	15
7	14	18
7	15	16
7	16	15
7	17	210
7	18	77
7	19	17
7	20	16
7	21	21
7	22	37
7	23	49
7	24	43
7	25	30
7	26	34
7	27	40
7	28	39
7	29	18
7	30	53
7	31	48
7	32	15
7	33	53
7	34	36
7	35	22
7	36	9
7	37	8
