day	hour	value
1	1	50
1	2	62
1	3	67
1	4	42
1	5	16
1	6	36
1	7	41
1	8	52
1	9	146
1	10	61
1	11	68
1	12	142
1	13	44
1	14	57
1	15	4
1	16	17
1	17	111
1	18	116
1	19	39
1	20	68
1	21	66
1	22	130
1	23	33
1	24	68
1	25	33
1	26	265
1	27	322
1	28	21
1	29	40
1	30	31
1	31	141
1	32	49
1	33	46
1	34	117
1	35	42
1	36	0
1	37	0
2	1	99
2	2	69
2	3	81
2	4	67
2	5	31
2	6	62
2	7	62
2	8	69
2	9	225
2	10	104
2	11	73
2	12	201
2	13	93
2	14	101
2	15	14
2	16	31
2	17	160
2	18	192
2	19	60
2	20	121
2	21	117
2	22	154
2	23	57
2	24	109
2	25	59
2	26	343
2	27	511
2	28	39
2	29	80
2	30	40
2	31	205
2	32	65
2	33	92
2	34	174
2	35	71
2	36	0
2	37	0
3	1	77
3	2	79
3	3	72
3	4	56
3	5	31
3	6	63
3	7	66
3	8	58
3	9	229
3	10	93
3	11	73
3	12	161
3	13	73
3	14	110
3	15	17
3	16	27
3	17	169
3	18	180
3	19	51
3	20	123
3	21	103
3	22	156
3	23	46
3	24	88
3	25	51
3	26	310
3	27	446
3	28	36
3	29	67
3	30	51
3	31	193
3	32	76
3	33	95
3	34	176
3	35	72
3	36	0
3	37	0
4	1	71
4	2	53
4	3	52
4	4	42
4	5	27
4	6	52
4	7	62
4	8	44
4	9	167
4	10	92
4	11	75
4	12	151
4	13	49
4	14	66
4	15	8
4	16	22
4	17	135
4	18	158
4	19	43
4	20	100
4	21	70
4	22	118
4	23	54
4	24	77
4	25	30
4	26	246
4	27	330
4	28	33
4	29	47
4	30	36
4	31	148
4	32	67
4	33	75
4	34	130
4	35	56
4	36	0
4	37	0
5	1	73
5	2	45
5	3	47
5	4	50
5	5	26
5	6	46
5	7	38
5	8	44
5	9	160
5	10	61
5	11	47
5	12	123
5	13	51
5	14	76
5	15	3
5	16	18
5	17	131
5	18	133
5	19	41
5	20	85
5	21	71
5	22	96
5	23	28
5	24	76
5	25	39
5	26	210
5	27	278
5	28	22
5	29	38
5	30	28
5	31	132
5	32	48
5	33	60
5	34	127
5	35	53
5	36	0
5	37	0
6	1	32
6	2	12
6	3	18
6	4	12
6	5	11
6	6	11
6	7	23
6	8	14
6	9	64
6	10	15
6	11	49
6	12	12
6	13	7
6	14	14
6	15	4
6	16	11
6	17	62
6	18	34
6	19	6
6	20	6
6	21	10
6	22	20
6	23	17
6	24	26
6	25	25
6	26	27
6	27	39
6	28	13
6	29	17
6	30	27
6	31	30
6	32	4
6	33	34
6	34	30
6	35	6
6	36	0
6	37	0
7	1	11
7	2	5
7	3	11
7	4	3
7	5	4
7	6	7
7	7	9
7	8	6
7	9	23
7	10	14
7	11	24
7	12	12
7	13	3
7	14	11
7	15	7
7	16	4
7	17	22
7	18	10
7	19	3
7	20	11
7	21	7
7	22	10
7	23	1
7	24	16
7	25	13
7	26	17
7	27	15
7	28	8
7	29	7
7	30	14
7	31	11
7	32	2
7	33	11
7	34	11
7	35	3
7	36	0
7	37	0
