day	hour	value
1	1	107
1	2	87
1	3	96
1	4	88
1	5	42
1	6	64
1	7	79
1	8	102
1	9	279
1	10	132
1	11	89
1	12	207
1	13	99
1	14	107
1	15	27
1	16	37
1	17	239
1	18	193
1	19	80
1	20	99
1	21	105
1	22	197
1	23	63
1	24	142
1	25	67
1	26	452
1	27	510
1	28	45
1	29	74
1	30	55
1	31	193
1	32	80
1	33	100
1	34	209
1	35	80
1	36	0
1	37	0
2	1	89
2	2	60
2	3	87
2	4	69
2	5	48
2	6	56
2	7	66
2	8	66
2	9	216
2	10	99
2	11	93
2	12	201
2	13	83
2	14	96
2	15	18
2	16	45
2	17	174
2	18	190
2	19	79
2	20	88
2	21	92
2	22	160
2	23	58
2	24	124
2	25	35
2	26	348
2	27	536
2	28	30
2	29	58
2	30	37
2	31	176
2	32	66
2	33	109
2	34	189
2	35	70
2	36	0
2	37	0
3	1	92
3	2	68
3	3	83
3	4	73
3	5	42
3	6	50
3	7	64
3	8	75
3	9	205
3	10	114
3	11	90
3	12	178
3	13	115
3	14	101
3	15	20
3	16	32
3	17	195
3	18	206
3	19	75
3	20	115
3	21	101
3	22	176
3	23	52
3	24	113
3	25	49
3	26	322
3	27	469
3	28	35
3	29	81
3	30	38
3	31	172
3	32	80
3	33	82
3	34	175
3	35	80
3	36	0
3	37	0
4	1	92
4	2	64
4	3	93
4	4	84
4	5	52
4	6	63
4	7	68
4	8	72
4	9	221
4	10	107
4	11	92
4	12	183
4	13	105
4	14	92
4	15	22
4	16	34
4	17	192
4	18	191
4	19	63
4	20	131
4	21	99
4	22	172
4	23	56
4	24	118
4	25	56
4	26	329
4	27	497
4	28	46
4	29	64
4	30	42
4	31	179
4	32	82
4	33	97
4	34	182
4	35	66
4	36	1
4	37	1
5	1	90
5	2	64
5	3	69
5	4	80
5	5	45
5	6	47
5	7	70
5	8	73
5	9	207
5	10	87
5	11	91
5	12	144
5	13	81
5	14	85
5	15	18
5	16	25
5	17	179
5	18	176
5	19	53
5	20	118
5	21	86
5	22	163
5	23	47
5	24	110
5	25	42
5	26	254
5	27	417
5	28	40
5	29	61
5	30	46
5	31	162
5	32	73
5	33	77
5	34	173
5	35	64
5	36	0
5	37	0
6	1	40
6	2	15
6	3	33
6	4	11
6	5	27
6	6	26
6	7	55
6	8	28
6	9	87
6	10	24
6	11	50
6	12	29
6	13	33
6	14	24
6	15	21
6	16	13
6	17	105
6	18	68
6	19	17
6	20	13
6	21	23
6	22	37
6	23	24
6	24	47
6	25	29
6	26	41
6	27	63
6	28	44
6	29	29
6	30	32
6	31	62
6	32	30
6	33	52
6	34	23
6	35	13
6	36	0
6	37	0
7	1	38
7	2	16
7	3	29
7	4	5
7	5	34
7	6	10
7	7	17
7	8	19
7	9	72
7	10	23
7	11	53
7	12	21
7	13	26
7	14	18
7	15	14
7	16	6
7	17	105
7	18	44
7	19	15
7	20	4
7	21	8
7	22	24
7	23	26
7	24	37
7	25	5
7	26	27
7	27	46
7	28	23
7	29	22
7	30	37
7	31	37
7	32	19
7	33	45
7	34	21
7	35	19
7	36	0
7	37	0
