day	hour	value
1	1	68
1	2	60
1	3	70
1	4	48
1	5	27
1	6	45
1	7	61
1	8	52
1	9	165
1	10	83
1	11	68
1	12	148
1	13	68
1	14	80
1	15	12
1	16	27
1	17	141
1	18	165
1	19	46
1	20	85
1	21	68
1	22	123
1	23	50
1	24	92
1	25	29
1	26	276
1	27	355
1	28	31
1	29	55
1	30	49
1	31	157
1	32	78
1	33	61
1	34	131
1	35	59
1	36	0
1	37	0
2	1	70
2	2	47
2	3	58
2	4	53
2	5	31
2	6	47
2	7	52
2	8	60
2	9	191
2	10	77
2	11	60
2	12	163
2	13	80
2	14	85
2	15	7
2	16	20
2	17	136
2	18	153
2	19	51
2	20	78
2	21	74
2	22	130
2	23	43
2	24	99
2	25	38
2	26	307
2	27	441
2	28	31
2	29	54
2	30	33
2	31	143
2	32	62
2	33	63
2	34	124
2	35	38
2	36	0
2	37	0
3	1	82
3	2	50
3	3	72
3	4	51
3	5	31
3	6	62
3	7	60
3	8	58
3	9	211
3	10	114
3	11	77
3	12	166
3	13	99
3	14	77
3	15	11
3	16	27
3	17	166
3	18	151
3	19	52
3	20	122
3	21	75
3	22	162
3	23	55
3	24	119
3	25	32
3	26	294
3	27	437
3	28	39
3	29	59
3	30	42
3	31	178
3	32	87
3	33	88
3	34	116
3	35	74
3	36	0
3	37	0
4	1	91
4	2	70
4	3	74
4	4	76
4	5	54
4	6	75
4	7	65
4	8	74
4	9	210
4	10	106
4	11	76
4	12	177
4	13	95
4	14	89
4	15	19
4	16	25
4	17	186
4	18	213
4	19	61
4	20	122
4	21	93
4	22	157
4	23	47
4	24	110
4	25	40
4	26	296
4	27	431
4	28	28
4	29	73
4	30	30
4	31	164
4	32	78
4	33	81
4	34	103
4	35	65
4	36	0
4	37	0
5	1	61
5	2	51
5	3	53
5	4	47
5	5	22
5	6	50
5	7	58
5	8	46
5	9	162
5	10	79
5	11	63
5	12	119
5	13	72
5	14	79
5	15	15
5	16	20
5	17	151
5	18	126
5	19	48
5	20	90
5	21	67
5	22	110
5	23	35
5	24	89
5	25	31
5	26	285
5	27	302
5	28	22
5	29	52
5	30	29
5	31	137
5	32	65
5	33	63
5	34	111
5	35	47
5	36	0
5	37	0
6	1	27
6	2	10
6	3	33
6	4	4
6	5	22
6	6	16
6	7	28
6	8	13
6	9	94
6	10	23
6	11	34
6	12	14
6	13	28
6	14	22
6	15	11
6	16	10
6	17	85
6	18	32
6	19	12
6	20	16
6	21	8
6	22	19
6	23	12
6	24	25
6	25	21
6	26	25
6	27	38
6	28	24
6	29	19
6	30	32
6	31	32
6	32	24
6	33	37
6	34	24
6	35	16
6	36	1
6	37	0
7	1	29
7	2	23
7	3	24
7	4	3
7	5	18
7	6	12
7	7	26
7	8	11
7	9	51
7	10	21
7	11	34
7	12	15
7	13	17
7	14	15
7	15	7
7	16	7
7	17	81
7	18	32
7	19	5
7	20	16
7	21	12
7	22	28
7	23	10
7	24	25
7	25	11
7	26	31
7	27	28
7	28	20
7	29	13
7	30	23
7	31	21
7	32	11
7	33	23
7	34	13
7	35	11
7	36	0
7	37	0
