day	hour	value
1	1	74
1	2	41
1	3	68
1	4	56
1	5	40
1	6	48
1	7	60
1	8	56
1	9	206
1	10	104
1	11	65
1	12	161
1	13	62
1	14	83
1	15	23
1	16	40
1	17	195
1	18	207
1	19	50
1	20	101
1	21	90
1	22	154
1	23	58
1	24	87
1	25	47
1	26	360
1	27	287
1	28	35
1	29	40
1	30	30
1	31	159
1	32	53
1	33	80
1	34	170
1	35	62
1	36	0
1	37	0
2	1	81
2	2	36
2	3	74
2	4	74
2	5	47
2	6	64
2	7	66
2	8	69
2	9	205
2	10	117
2	11	64
2	12	174
2	13	85
2	14	92
2	15	30
2	16	38
2	17	184
2	18	248
2	19	76
2	20	141
2	21	127
2	22	189
2	23	63
2	24	112
2	25	40
2	26	379
2	27	418
2	28	38
2	29	46
2	30	34
2	31	223
2	32	90
2	33	78
2	34	208
2	35	69
2	36	0
2	37	0
3	1	84
3	2	52
3	3	77
3	4	81
3	5	50
3	6	74
3	7	71
3	8	70
3	9	248
3	10	130
3	11	61
3	12	197
3	13	91
3	14	120
3	15	33
3	16	51
3	17	235
3	18	279
3	19	68
3	20	116
3	21	116
3	22	204
3	23	80
3	24	109
3	25	60
3	26	374
3	27	404
3	28	40
3	29	48
3	30	40
3	31	210
3	32	82
3	33	99
3	34	219
3	35	75
3	36	0
3	37	0
4	1	87
4	2	58
4	3	86
4	4	74
4	5	43
4	6	61
4	7	58
4	8	70
4	9	216
4	10	109
4	11	80
4	12	186
4	13	96
4	14	90
4	15	35
4	16	40
4	17	191
4	18	279
4	19	75
4	20	108
4	21	134
4	22	182
4	23	73
4	24	129
4	25	66
4	26	410
4	27	383
4	28	34
4	29	54
4	30	34
4	31	218
4	32	77
4	33	96
4	34	239
4	35	65
4	36	0
4	37	0
5	1	110
5	2	62
5	3	82
5	4	91
5	5	53
5	6	72
5	7	79
5	8	98
5	9	287
5	10	139
5	11	99
5	12	176
5	13	109
5	14	110
5	15	37
5	16	31
5	17	236
5	18	309
5	19	63
5	20	123
5	21	133
5	22	203
5	23	69
5	24	147
5	25	66
5	26	388
5	27	379
5	28	52
5	29	65
5	30	48
5	31	219
5	32	93
5	33	117
5	34	239
5	35	75
5	36	0
5	37	0
6	1	49
6	2	24
6	3	25
6	4	5
6	5	28
6	6	17
6	7	52
6	8	23
6	9	112
6	10	18
6	11	55
6	12	16
6	13	16
6	14	21
6	15	28
6	16	17
6	17	151
6	18	88
6	19	3
6	20	15
6	21	19
6	22	42
6	23	50
6	24	32
6	25	25
6	26	30
6	27	41
6	28	45
6	29	46
6	30	34
6	31	71
6	32	8
6	33	47
6	34	31
6	35	25
6	36	0
6	37	0
7	1	41
7	2	13
7	3	28
7	4	6
7	5	33
7	6	13
7	7	26
7	8	22
7	9	87
7	10	14
7	11	49
7	12	19
7	13	13
7	14	29
7	15	20
7	16	23
7	17	123
7	18	58
7	19	8
7	20	17
7	21	14
7	22	26
7	23	25
7	24	32
7	25	24
7	26	46
7	27	40
7	28	28
7	29	17
7	30	33
7	31	42
7	32	8
7	33	49
7	34	35
7	35	14
7	36	0
7	37	0
