day	hour	value
1	1	99
1	2	76
1	3	94
1	4	95
1	5	47
1	6	58
1	7	70
1	8	84
1	9	250
1	10	135
1	11	89
1	12	178
1	13	80
1	14	106
1	15	30
1	16	55
1	17	221
1	18	307
1	19	66
1	20	121
1	21	105
1	22	224
1	23	96
1	24	137
1	25	52
1	26	484
1	27	444
1	28	36
1	29	70
1	30	38
1	31	272
1	32	96
1	33	94
1	34	222
1	35	74
1	36	0
1	37	0
2	1	98
2	2	40
2	3	95
2	4	94
2	5	42
2	6	69
2	7	66
2	8	85
2	9	240
2	10	133
2	11	79
2	12	213
2	13	103
2	14	113
2	15	29
2	16	46
2	17	220
2	18	295
2	19	72
2	20	129
2	21	118
2	22	201
2	23	87
2	24	142
2	25	69
2	26	442
2	27	481
2	28	41
2	29	74
2	30	47
2	31	282
2	32	111
2	33	89
2	34	234
2	35	81
2	36	1
2	37	0
3	1	142
3	2	69
3	3	110
3	4	103
3	5	63
3	6	82
3	7	83
3	8	86
3	9	311
3	10	165
3	11	94
3	12	232
3	13	119
3	14	134
3	15	33
3	16	59
3	17	250
3	18	362
3	19	100
3	20	144
3	21	137
3	22	253
3	23	105
3	24	166
3	25	80
3	26	565
3	27	500
3	28	49
3	29	78
3	30	33
3	31	283
3	32	108
3	33	119
3	34	289
3	35	98
3	36	0
3	37	0
4	1	127
4	2	67
4	3	105
4	4	109
4	5	52
4	6	80
4	7	102
4	8	91
4	9	313
4	10	168
4	11	114
4	12	241
4	13	133
4	14	137
4	15	44
4	16	59
4	17	259
4	18	363
4	19	86
4	20	148
4	21	143
4	22	234
4	23	104
4	24	160
4	25	59
4	26	549
4	27	504
4	28	67
4	29	88
4	30	46
4	31	303
4	32	127
4	33	126
4	34	276
4	35	80
4	36	1
4	37	0
5	1	90
5	2	48
5	3	79
5	4	87
5	5	46
5	6	76
5	7	59
5	8	76
5	9	248
5	10	101
5	11	77
5	12	158
5	13	75
5	14	88
5	15	30
5	16	38
5	17	234
5	18	278
5	19	54
5	20	117
5	21	103
5	22	170
5	23	79
5	24	118
5	25	67
5	26	343
5	27	340
5	28	52
5	29	78
5	30	33
5	31	197
5	32	96
5	33	78
5	34	201
5	35	73
5	36	0
5	37	5
6	1	35
6	2	15
6	3	24
6	4	6
6	5	20
6	6	26
6	7	54
6	8	16
6	9	112
6	10	28
6	11	62
6	12	15
6	13	19
6	14	30
6	15	13
6	16	9
6	17	150
6	18	58
6	19	10
6	20	18
6	21	16
6	22	18
6	23	36
6	24	41
6	25	33
6	26	44
6	27	31
6	28	26
6	29	31
6	30	44
6	31	50
6	32	8
6	33	53
6	34	27
6	35	15
6	36	0
6	37	0
7	1	28
7	2	7
7	3	32
7	4	4
7	5	26
7	6	19
7	7	35
7	8	14
7	9	64
7	10	35
7	11	71
7	12	10
7	13	12
7	14	22
7	15	15
7	16	7
7	17	123
7	18	40
7	19	6
7	20	13
7	21	11
7	22	19
7	23	13
7	24	31
7	25	23
7	26	31
7	27	33
7	28	32
7	29	16
7	30	31
7	31	40
7	32	10
7	33	39
7	34	39
7	35	17
7	36	2
7	37	0
