day	hour	value
1	1	95
1	2	47
1	3	81
1	4	79
1	5	42
1	6	47
1	7	62
1	8	62
1	9	207
1	10	97
1	11	74
1	12	189
1	13	83
1	14	103
1	15	13
1	16	34
1	17	176
1	18	197
1	19	54
1	20	104
1	21	86
1	22	142
1	23	58
1	24	105
1	25	56
1	26	429
1	27	389
1	28	22
1	29	57
1	30	37
1	31	212
1	32	66
1	33	80
1	34	168
1	35	62
1	36	0
1	37	1
2	1	134
2	2	70
2	3	97
2	4	110
2	5	63
2	6	67
2	7	75
2	8	87
2	9	314
2	10	157
2	11	111
2	12	269
2	13	116
2	14	125
2	15	30
2	16	41
2	17	263
2	18	298
2	19	82
2	20	155
2	21	122
2	22	218
2	23	85
2	24	139
2	25	91
2	26	441
2	27	681
2	28	42
2	29	88
2	30	58
2	31	274
2	32	105
2	33	116
2	34	234
2	35	99
2	36	0
2	37	1
3	1	124
3	2	62
3	3	93
3	4	101
3	5	60
3	6	71
3	7	92
3	8	93
3	9	317
3	10	140
3	11	100
3	12	238
3	13	96
3	14	119
3	15	30
3	16	40
3	17	266
3	18	246
3	19	90
3	20	151
3	21	137
3	22	220
3	23	80
3	24	143
3	25	89
3	26	437
3	27	622
3	28	46
3	29	72
3	30	67
3	31	291
3	32	118
3	33	113
3	34	222
3	35	74
3	36	0
3	37	0
4	1	111
4	2	68
4	3	89
4	4	89
4	5	37
4	6	68
4	7	78
4	8	81
4	9	262
4	10	104
4	11	104
4	12	222
4	13	78
4	14	122
4	15	28
4	16	47
4	17	230
4	18	255
4	19	86
4	20	140
4	21	117
4	22	191
4	23	72
4	24	128
4	25	66
4	26	379
4	27	519
4	28	43
4	29	61
4	30	49
4	31	238
4	32	102
4	33	97
4	34	206
4	35	80
4	36	0
4	37	0
5	1	75
5	2	43
5	3	53
5	4	59
5	5	34
5	6	45
5	7	50
5	8	59
5	9	205
5	10	75
5	11	65
5	12	137
5	13	59
5	14	77
5	15	17
5	16	19
5	17	145
5	18	152
5	19	46
5	20	80
5	21	67
5	22	72
5	23	33
5	24	75
5	25	47
5	26	270
5	27	349
5	28	27
5	29	58
5	30	32
5	31	136
5	32	49
5	33	50
5	34	134
5	35	62
5	36	0
5	37	0
6	1	30
6	2	6
6	3	15
6	4	1
6	5	17
6	6	9
6	7	25
6	8	15
6	9	65
6	10	17
6	11	37
6	12	12
6	13	7
6	14	16
6	15	14
6	16	10
6	17	91
6	18	29
6	19	4
6	20	11
6	21	8
6	22	20
6	23	23
6	24	25
6	25	13
6	26	26
6	27	35
6	28	29
6	29	22
6	30	34
6	31	34
6	32	6
6	33	39
6	34	33
6	35	13
6	36	0
6	37	0
7	1	20
7	2	8
7	3	11
7	4	1
7	5	14
7	6	21
7	7	8
7	8	9
7	9	32
7	10	9
7	11	25
7	12	11
7	13	9
7	14	17
7	15	8
7	16	9
7	17	63
7	18	18
7	19	3
7	20	10
7	21	12
7	22	15
7	23	14
7	24	17
7	25	9
7	26	13
7	27	36
7	28	10
7	29	10
7	30	10
7	31	23
7	32	6
7	33	17
7	34	12
7	35	6
7	36	0
7	37	0
