day	hour	value
1	1	106
1	2	69
1	3	98
1	4	80
1	5	47
1	6	61
1	7	70
1	8	89
1	9	279
1	10	128
1	11	98
1	12	225
1	13	88
1	14	95
1	15	22
1	16	40
1	17	235
1	18	284
1	19	74
1	20	136
1	21	109
1	22	185
1	23	75
1	24	124
1	25	69
1	26	421
1	27	465
1	28	44
1	29	60
1	30	46
1	31	206
1	32	104
1	33	86
1	34	224
1	35	68
1	36	0
1	37	0
2	1	131
2	2	90
2	3	108
2	4	100
2	5	62
2	6	67
2	7	95
2	8	112
2	9	356
2	10	158
2	11	117
2	12	264
2	13	134
2	14	118
2	15	44
2	16	47
2	17	265
2	18	367
2	19	98
2	20	159
2	21	152
2	22	247
2	23	97
2	24	168
2	25	70
2	26	486
2	27	648
2	28	43
2	29	83
2	30	59
2	31	332
2	32	118
2	33	110
2	34	265
2	35	91
2	36	0
2	37	0
3	1	77
3	2	72
3	3	98
3	4	87
3	5	49
3	6	58
3	7	68
3	8	79
3	9	266
3	10	132
3	11	81
3	12	195
3	13	92
3	14	89
3	15	20
3	16	38
3	17	258
3	18	292
3	19	71
3	20	145
3	21	136
3	22	193
3	23	75
3	24	141
3	25	70
3	26	401
3	27	451
3	28	37
3	29	60
3	30	50
3	31	242
3	32	93
3	33	79
3	34	229
3	35	71
3	36	0
3	37	0
4	1	109
4	2	67
4	3	96
4	4	88
4	5	51
4	6	71
4	7	78
4	8	82
4	9	293
4	10	131
4	11	83
4	12	202
4	13	101
4	14	95
4	15	41
4	16	50
4	17	229
4	18	269
4	19	70
4	20	121
4	21	119
4	22	190
4	23	103
4	24	132
4	25	70
4	26	395
4	27	468
4	28	55
4	29	56
4	30	45
4	31	266
4	32	86
4	33	104
4	34	232
4	35	77
4	36	0
4	37	0
5	1	74
5	2	57
5	3	74
5	4	67
5	5	51
5	6	46
5	7	76
5	8	78
5	9	251
5	10	124
5	11	93
5	12	142
5	13	70
5	14	75
5	15	14
5	16	29
5	17	218
5	18	222
5	19	62
5	20	115
5	21	116
5	22	129
5	23	65
5	24	109
5	25	64
5	26	328
5	27	377
5	28	36
5	29	35
5	30	46
5	31	202
5	32	79
5	33	65
5	34	203
5	35	74
5	36	0
5	37	1
6	1	50
6	2	21
6	3	14
6	4	7
6	5	31
6	6	15
6	7	21
6	8	23
6	9	104
6	10	25
6	11	45
6	12	10
6	13	10
6	14	15
6	15	20
6	16	14
6	17	136
6	18	43
6	19	8
6	20	10
6	21	19
6	22	46
6	23	29
6	24	34
6	25	24
6	26	40
6	27	38
6	28	37
6	29	19
6	30	33
6	31	56
6	32	9
6	33	47
6	34	25
6	35	17
6	36	0
6	37	2
7	1	39
7	2	23
7	3	35
7	4	13
7	5	37
7	6	22
7	7	34
7	8	22
7	9	117
7	10	39
7	11	57
7	12	12
7	13	24
7	14	22
7	15	21
7	16	22
7	17	127
7	18	64
7	19	8
7	20	15
7	21	16
7	22	28
7	23	26
7	24	49
7	25	33
7	26	43
7	27	58
7	28	26
7	29	15
7	30	42
7	31	51
7	32	15
7	33	42
7	34	30
7	35	10
7	36	0
7	37	0
