day	hour	value
1	1	91
1	2	57
1	3	89
1	4	85
1	5	47
1	6	67
1	7	66
1	8	87
1	9	250
1	10	102
1	11	105
1	12	239
1	13	89
1	14	84
1	15	21
1	16	36
1	17	224
1	18	204
1	19	59
1	20	127
1	21	103
1	22	202
1	23	60
1	24	104
1	25	72
1	26	467
1	27	514
1	28	46
1	29	106
1	30	59
1	31	237
1	32	81
1	33	91
1	34	214
1	35	71
1	36	0
1	37	0
2	1	105
2	2	65
2	3	93
2	4	82
2	5	28
2	6	82
2	7	63
2	8	78
2	9	220
2	10	120
2	11	75
2	12	208
2	13	90
2	14	73
2	15	29
2	16	41
2	17	205
2	18	206
2	19	46
2	20	136
2	21	117
2	22	202
2	23	52
2	24	96
2	25	43
2	26	380
2	27	524
2	28	52
2	29	79
2	30	36
2	31	221
2	32	73
2	33	78
2	34	220
2	35	72
2	36	0
2	37	0
3	1	85
3	2	61
3	3	82
3	4	86
3	5	41
3	6	64
3	7	81
3	8	93
3	9	208
3	10	99
3	11	82
3	12	175
3	13	65
3	14	77
3	15	17
3	16	34
3	17	168
3	18	187
3	19	70
3	20	125
3	21	99
3	22	186
3	23	43
3	24	92
3	25	53
3	26	294
3	27	461
3	28	48
3	29	67
3	30	44
3	31	222
3	32	82
3	33	76
3	34	176
3	35	65
3	36	1
3	37	0
4	1	83
4	2	63
4	3	68
4	4	63
4	5	29
4	6	52
4	7	59
4	8	63
4	9	194
4	10	105
4	11	70
4	12	159
4	13	66
4	14	52
4	15	21
4	16	32
4	17	166
4	18	158
4	19	55
4	20	99
4	21	81
4	22	164
4	23	39
4	24	103
4	25	50
4	26	277
4	27	430
4	28	40
4	29	55
4	30	31
4	31	169
4	32	74
4	33	91
4	34	168
4	35	51
4	36	0
4	37	0
5	1	73
5	2	59
5	3	78
5	4	72
5	5	39
5	6	63
5	7	59
5	8	61
5	9	208
5	10	91
5	11	85
5	12	139
5	13	75
5	14	80
5	15	18
5	16	24
5	17	161
5	18	168
5	19	38
5	20	104
5	21	88
5	22	158
5	23	57
5	24	84
5	25	51
5	26	294
5	27	261
5	28	42
5	29	59
5	30	42
5	31	158
5	32	74
5	33	79
5	34	170
5	35	57
5	36	0
5	37	0
6	1	36
6	2	11
6	3	31
6	4	2
6	5	16
6	6	30
6	7	21
6	8	20
6	9	77
6	10	12
6	11	59
6	12	22
6	13	34
6	14	16
6	15	13
6	16	14
6	17	109
6	18	37
6	19	9
6	20	13
6	21	14
6	22	26
6	23	17
6	24	37
6	25	29
6	26	26
6	27	39
6	28	34
6	29	22
6	30	36
6	31	35
6	32	11
6	33	58
6	34	20
6	35	15
6	36	0
6	37	0
7	1	42
7	2	14
7	3	20
7	4	6
7	5	26
7	6	15
7	7	28
7	8	15
7	9	54
7	10	37
7	11	45
7	12	25
7	13	16
7	14	23
7	15	17
7	16	9
7	17	74
7	18	37
7	19	10
7	20	15
7	21	15
7	22	35
7	23	21
7	24	21
7	25	21
7	26	34
7	27	40
7	28	33
7	29	23
7	30	37
7	31	27
7	32	9
7	33	43
7	34	43
7	35	13
7	36	0
7	37	0
