day	hour	value
1	1	105
1	2	72
1	3	109
1	4	87
1	5	32
1	6	65
1	7	98
1	8	87
1	9	240
1	10	98
1	11	95
1	12	228
1	13	85
1	14	94
1	15	15
1	16	41
1	17	222
1	18	251
1	19	55
1	20	115
1	21	83
1	22	199
1	23	61
1	24	122
1	25	49
1	26	438
1	27	488
1	28	34
1	29	84
1	30	54
1	31	272
1	32	95
1	33	125
1	34	224
1	35	81
1	36	0
1	37	0
2	1	128
2	2	66
2	3	85
2	4	100
2	5	32
2	6	71
2	7	100
2	8	101
2	9	255
2	10	149
2	11	91
2	12	246
2	13	113
2	14	112
2	15	28
2	16	44
2	17	223
2	18	263
2	19	77
2	20	126
2	21	127
2	22	259
2	23	52
2	24	136
2	25	61
2	26	382
2	27	586
2	28	54
2	29	88
2	30	57
2	31	246
2	32	100
2	33	140
2	34	219
2	35	65
2	36	0
2	37	0
3	1	127
3	2	84
3	3	101
3	4	100
3	5	36
3	6	45
3	7	103
3	8	80
3	9	271
3	10	128
3	11	97
3	12	234
3	13	100
3	14	108
3	15	34
3	16	44
3	17	211
3	18	207
3	19	91
3	20	143
3	21	114
3	22	226
3	23	74
3	24	119
3	25	77
3	26	384
3	27	560
3	28	45
3	29	79
3	30	68
3	31	262
3	32	92
3	33	115
3	34	213
3	35	92
3	36	0
3	37	0
4	1	140
4	2	81
4	3	120
4	4	132
4	5	54
4	6	73
4	7	118
4	8	116
4	9	333
4	10	174
4	11	124
4	12	290
4	13	105
4	14	118
4	15	36
4	16	59
4	17	279
4	18	278
4	19	88
4	20	155
4	21	157
4	22	296
4	23	72
4	24	138
4	25	68
4	26	507
4	27	644
4	28	65
4	29	119
4	30	71
4	31	312
4	32	119
4	33	138
4	34	280
4	35	90
4	36	0
4	37	0
5	1	149
5	2	82
5	3	110
5	4	105
5	5	57
5	6	68
5	7	104
5	8	96
5	9	334
5	10	161
5	11	113
5	12	247
5	13	103
5	14	128
5	15	29
5	16	58
5	17	298
5	18	283
5	19	77
5	20	147
5	21	138
5	22	222
5	23	96
5	24	139
5	25	77
5	26	378
5	27	598
5	28	50
5	29	101
5	30	89
5	31	295
5	32	131
5	33	117
5	34	271
5	35	94
5	36	0
5	37	1
6	1	47
6	2	27
6	3	50
6	4	6
6	5	28
6	6	17
6	7	63
6	8	34
6	9	118
6	10	30
6	11	54
6	12	27
6	13	20
6	14	30
6	15	10
6	16	17
6	17	106
6	18	63
6	19	14
6	20	30
6	21	16
6	22	64
6	23	34
6	24	46
6	25	30
6	26	59
6	27	70
6	28	35
6	29	36
6	30	46
6	31	47
6	32	26
6	33	54
6	34	38
6	35	27
6	36	0
6	37	0
7	1	53
7	2	17
7	3	24
7	4	10
7	5	21
7	6	6
7	7	34
7	8	17
7	9	62
7	10	31
7	11	51
7	12	28
7	13	9
7	14	22
7	15	21
7	16	13
7	17	128
7	18	49
7	19	12
7	20	24
7	21	18
7	22	36
7	23	21
7	24	27
7	25	15
7	26	36
7	27	46
7	28	32
7	29	31
7	30	51
7	31	57
7	32	25
7	33	68
7	34	42
7	35	18
7	36	0
7	37	0
