day	hour	value
1	1	70
1	2	70
1	3	86
1	4	63
1	5	30
1	6	45
1	7	72
1	8	62
1	9	231
1	10	101
1	11	70
1	12	193
1	13	84
1	14	74
1	15	32
1	16	31
1	17	212
1	18	199
1	19	60
1	20	78
1	21	86
1	22	174
1	23	55
1	24	112
1	25	53
1	26	314
1	27	374
1	28	37
1	29	72
1	30	49
1	31	211
1	32	68
1	33	90
1	34	152
1	35	80
1	36	0
1	37	0
2	1	136
2	2	113
2	3	133
2	4	107
2	5	64
2	6	82
2	7	136
2	8	115
2	9	324
2	10	189
2	11	107
2	12	305
2	13	145
2	14	126
2	15	41
2	16	51
2	17	278
2	18	315
2	19	101
2	20	158
2	21	186
2	22	301
2	23	83
2	24	150
2	25	101
2	26	493
2	27	706
2	28	62
2	29	118
2	30	59
2	31	314
2	32	149
2	33	141
2	34	298
2	35	101
2	36	1
2	37	0
3	1	140
3	2	100
3	3	120
3	4	116
3	5	43
3	6	89
3	7	118
3	8	87
3	9	328
3	10	138
3	11	115
3	12	291
3	13	131
3	14	121
3	15	37
3	16	55
3	17	264
3	18	322
3	19	98
3	20	158
3	21	122
3	22	281
3	23	85
3	24	141
3	25	82
3	26	481
3	27	600
3	28	46
3	29	99
3	30	62
3	31	354
3	32	110
3	33	128
3	34	250
3	35	103
3	36	1
3	37	1
4	1	110
4	2	72
4	3	103
4	4	105
4	5	47
4	6	64
4	7	109
4	8	75
4	9	277
4	10	115
4	11	101
4	12	217
4	13	91
4	14	110
4	15	26
4	16	44
4	17	212
4	18	228
4	19	73
4	20	125
4	21	120
4	22	236
4	23	67
4	24	124
4	25	69
4	26	356
4	27	519
4	28	47
4	29	92
4	30	64
4	31	274
4	32	107
4	33	132
4	34	226
4	35	82
4	36	0
4	37	0
5	1	118
5	2	70
5	3	88
5	4	79
5	5	46
5	6	73
5	7	83
5	8	78
5	9	258
5	10	102
5	11	87
5	12	206
5	13	80
5	14	95
5	15	27
5	16	29
5	17	240
5	18	218
5	19	55
5	20	105
5	21	130
5	22	196
5	23	58
5	24	137
5	25	75
5	26	344
5	27	395
5	28	44
5	29	72
5	30	58
5	31	241
5	32	95
5	33	142
5	34	201
5	35	80
5	36	0
5	37	1
6	1	39
6	2	27
6	3	41
6	4	10
6	5	31
6	6	18
6	7	54
6	8	28
6	9	94
6	10	32
6	11	35
6	12	30
6	13	22
6	14	30
6	15	11
6	16	15
6	17	141
6	18	83
6	19	8
6	20	20
6	21	18
6	22	35
6	23	37
6	24	45
6	25	14
6	26	40
6	27	37
6	28	23
6	29	23
6	30	59
6	31	75
6	32	18
6	33	75
6	34	33
6	35	25
6	36	0
6	37	0
7	1	45
7	2	28
7	3	20
7	4	21
7	5	15
7	6	16
7	7	24
7	8	12
7	9	102
7	10	26
7	11	51
7	12	31
7	13	20
7	14	23
7	15	20
7	16	13
7	17	136
7	18	45
7	19	17
7	20	20
7	21	20
7	22	31
7	23	28
7	24	46
7	25	17
7	26	31
7	27	49
7	28	28
7	29	27
7	30	34
7	31	37
7	32	13
7	33	44
7	34	35
7	35	15
7	36	0
7	37	0
