day	hour	value
1	1	85
1	2	68
1	3	61
1	4	81
1	5	35
1	6	73
1	7	69
1	8	84
1	9	235
1	10	120
1	11	112
1	12	217
1	13	109
1	14	74
1	15	33
1	16	51
1	17	184
1	18	224
1	19	124
1	20	106
1	21	140
1	22	179
1	23	85
1	24	162
1	25	39
1	26	383
1	27	377
1	28	59
1	29	54
1	30	92
1	31	199
1	32	90
1	33	95
1	34	179
1	35	80
1	36	0
1	37	0
2	1	120
2	2	74
2	3	71
2	4	87
2	5	31
2	6	77
2	7	66
2	8	82
2	9	232
2	10	122
2	11	108
2	12	245
2	13	121
2	14	80
2	15	36
2	16	52
2	17	177
2	18	241
2	19	131
2	20	116
2	21	129
2	22	195
2	23	84
2	24	151
2	25	42
2	26	368
2	27	416
2	28	74
2	29	79
2	30	98
2	31	224
2	32	75
2	33	101
2	34	164
2	35	99
2	36	0
2	37	1
3	1	90
3	2	58
3	3	67
3	4	74
3	5	36
3	6	83
3	7	78
3	8	67
3	9	234
3	10	123
3	11	114
3	12	223
3	13	123
3	14	97
3	15	31
3	16	54
3	17	194
3	18	206
3	19	120
3	20	143
3	21	152
3	22	168
3	23	92
3	24	177
3	25	43
3	26	364
3	27	403
3	28	52
3	29	48
3	30	102
3	31	231
3	32	95
3	33	94
3	34	160
3	35	90
3	36	0
3	37	0
4	1	96
4	2	58
4	3	52
4	4	80
4	5	38
4	6	64
4	7	58
4	8	85
4	9	251
4	10	118
4	11	107
4	12	218
4	13	114
4	14	87
4	15	24
4	16	53
4	17	182
4	18	216
4	19	118
4	20	124
4	21	114
4	22	188
4	23	90
4	24	153
4	25	50
4	26	285
4	27	470
4	28	69
4	29	64
4	30	99
4	31	189
4	32	97
4	33	100
4	34	156
4	35	96
4	36	0
4	37	0
5	1	101
5	2	61
5	3	71
5	4	102
5	5	53
5	6	68
5	7	79
5	8	105
5	9	262
5	10	122
5	11	141
5	12	216
5	13	116
5	14	87
5	15	36
5	16	54
5	17	208
5	18	232
5	19	120
5	20	138
5	21	127
5	22	168
5	23	91
5	24	177
5	25	57
5	26	329
5	27	452
5	28	62
5	29	68
5	30	115
5	31	230
5	32	80
5	33	112
5	34	169
5	35	102
5	36	0
5	37	0
6	1	45
6	2	34
6	3	24
6	4	3
6	5	25
6	6	30
6	7	18
6	8	19
6	9	114
6	10	38
6	11	56
6	12	17
6	13	21
6	14	17
6	15	17
6	16	17
6	17	78
6	18	59
6	19	18
6	20	19
6	21	29
6	22	24
6	23	29
6	24	33
6	25	30
6	26	28
6	27	48
6	28	38
6	29	32
6	30	50
6	31	39
6	32	26
6	33	52
6	34	23
6	35	24
6	36	0
6	37	0
7	1	35
7	2	8
7	3	23
7	4	8
7	5	31
7	6	6
7	7	21
7	8	12
7	9	80
7	10	30
7	11	45
7	12	15
7	13	17
7	14	7
7	15	15
7	16	15
7	17	84
7	18	52
7	19	14
7	20	13
7	21	26
7	22	15
7	23	14
7	24	25
7	25	20
7	26	24
7	27	36
7	28	31
7	29	15
7	30	28
7	31	29
7	32	11
7	33	48
7	34	16
7	35	9
7	36	0
7	37	1
