day	hour	value
1	1	109
1	2	85
1	3	93
1	4	87
1	5	51
1	6	68
1	7	91
1	8	105
1	9	306
1	10	157
1	11	103
1	12	261
1	13	135
1	14	107
1	15	37
1	16	83
1	17	230
1	18	307
1	19	131
1	20	142
1	21	160
1	22	202
1	23	104
1	24	188
1	25	59
1	26	547
1	27	468
1	28	58
1	29	102
1	30	95
1	31	262
1	32	104
1	33	108
1	34	248
1	35	97
1	36	28
1	37	9
2	1	119
2	2	70
2	3	100
2	4	89
2	5	54
2	6	68
2	7	67
2	8	103
2	9	315
2	10	172
2	11	134
2	12	264
2	13	150
2	14	90
2	15	43
2	16	63
2	17	243
2	18	310
2	19	152
2	20	155
2	21	171
2	22	215
2	23	128
2	24	168
2	25	53
2	26	548
2	27	530
2	28	79
2	29	85
2	30	111
2	31	265
2	32	122
2	33	108
2	34	255
2	35	93
2	36	35
2	37	8
3	1	102
3	2	68
3	3	88
3	4	89
3	5	46
3	6	84
3	7	86
3	8	118
3	9	324
3	10	144
3	11	119
3	12	247
3	13	158
3	14	90
3	15	54
3	16	71
3	17	213
3	18	316
3	19	137
3	20	143
3	21	165
3	22	208
3	23	117
3	24	199
3	25	56
3	26	518
3	27	463
3	28	79
3	29	85
3	30	129
3	31	266
3	32	126
3	33	123
3	34	242
3	35	98
3	36	28
3	37	12
4	1	89
4	2	62
4	3	78
4	4	95
4	5	43
4	6	73
4	7	66
4	8	89
4	9	228
4	10	113
4	11	87
4	12	184
4	13	123
4	14	70
4	15	33
4	16	66
4	17	198
4	18	238
4	19	87
4	20	112
4	21	138
4	22	126
4	23	90
4	24	155
4	25	49
4	26	354
4	27	420
4	28	65
4	29	64
4	30	70
4	31	185
4	32	105
4	33	104
4	34	193
4	35	75
4	36	30
4	37	11
5	1	66
5	2	55
5	3	64
5	4	64
5	5	38
5	6	60
5	7	47
5	8	75
5	9	220
5	10	111
5	11	83
5	12	162
5	13	100
5	14	62
5	15	36
5	16	46
5	17	159
5	18	247
5	19	96
5	20	109
5	21	115
5	22	134
5	23	75
5	24	143
5	25	46
5	26	295
5	27	252
5	28	70
5	29	78
5	30	77
5	31	155
5	32	85
5	33	74
5	34	172
5	35	89
5	36	24
5	37	13
6	1	54
6	2	30
6	3	43
6	4	15
6	5	40
6	6	24
6	7	74
6	8	17
6	9	152
6	10	29
6	11	44
6	12	30
6	13	31
6	14	10
6	15	27
6	16	14
6	17	137
6	18	74
6	19	31
6	20	17
6	21	16
6	22	21
6	23	42
6	24	31
6	25	26
6	26	32
6	27	57
6	28	40
6	29	17
6	30	57
6	31	64
6	32	16
6	33	47
6	34	26
6	35	13
6	36	15
6	37	11
7	1	46
7	2	16
7	3	26
7	4	13
7	5	27
7	6	26
7	7	31
7	8	19
7	9	154
7	10	50
7	11	58
7	12	16
7	13	21
7	14	24
7	15	20
7	16	21
7	17	158
7	18	68
7	19	29
7	20	9
7	21	23
7	22	22
7	23	44
7	24	40
7	25	17
7	26	41
7	27	50
7	28	37
7	29	14
7	30	48
7	31	55
7	32	22
7	33	73
7	34	37
7	35	24
7	36	13
7	37	5
