day	hour	value
1	1	65
1	2	56
1	3	52
1	4	41
1	5	13
1	6	35
1	7	43
1	8	48
1	9	131
1	10	67
1	11	81
1	12	153
1	13	54
1	14	50
1	15	8
1	16	22
1	17	95
1	18	120
1	19	76
1	20	66
1	21	56
1	22	122
1	23	34
1	24	89
1	25	25
1	26	239
1	27	239
1	28	32
1	29	50
1	30	58
1	31	147
1	32	48
1	33	73
1	34	100
1	35	54
1	36	0
1	37	0
2	1	90
2	2	74
2	3	61
2	4	58
2	5	25
2	6	51
2	7	59
2	8	77
2	9	202
2	10	110
2	11	94
2	12	230
2	13	109
2	14	81
2	15	24
2	16	30
2	17	132
2	18	163
2	19	111
2	20	107
2	21	116
2	22	168
2	23	74
2	24	142
2	25	61
2	26	345
2	27	367
2	28	60
2	29	87
2	30	88
2	31	201
2	32	75
2	33	103
2	34	159
2	35	96
2	36	0
2	37	0
3	1	60
3	2	61
3	3	70
3	4	54
3	5	24
3	6	59
3	7	60
3	8	39
3	9	203
3	10	94
3	11	93
3	12	212
3	13	97
3	14	72
3	15	27
3	16	37
3	17	169
3	18	177
3	19	103
3	20	101
3	21	89
3	22	142
3	23	69
3	24	126
3	25	49
3	26	298
3	27	360
3	28	57
3	29	57
3	30	105
3	31	210
3	32	78
3	33	104
3	34	145
3	35	81
3	36	0
3	37	0
4	1	79
4	2	59
4	3	49
4	4	48
4	5	22
4	6	43
4	7	48
4	8	34
4	9	164
4	10	80
4	11	95
4	12	179
4	13	62
4	14	53
4	15	21
4	16	24
4	17	122
4	18	120
4	19	67
4	20	98
4	21	95
4	22	111
4	23	47
4	24	84
4	25	32
4	26	221
4	27	279
4	28	44
4	29	58
4	30	72
4	31	152
4	32	64
4	33	70
4	34	118
4	35	68
4	36	0
4	37	0
5	1	54
5	2	38
5	3	36
5	4	46
5	5	23
5	6	36
5	7	38
5	8	43
5	9	162
5	10	73
5	11	67
5	12	126
5	13	65
5	14	66
5	15	15
5	16	33
5	17	99
5	18	120
5	19	67
5	20	76
5	21	79
5	22	87
5	23	51
5	24	90
5	25	37
5	26	197
5	27	222
5	28	40
5	29	45
5	30	69
5	31	124
5	32	52
5	33	71
5	34	100
5	35	53
5	36	0
5	37	0
6	1	29
6	2	13
6	3	21
6	4	5
6	5	7
6	6	11
6	7	19
6	8	12
6	9	61
6	10	24
6	11	44
6	12	14
6	13	16
6	14	15
6	15	6
6	16	9
6	17	55
6	18	27
6	19	10
6	20	9
6	21	20
6	22	24
6	23	11
6	24	30
6	25	17
6	26	24
6	27	37
6	28	18
6	29	21
6	30	30
6	31	25
6	32	8
6	33	34
6	34	27
6	35	11
6	36	0
6	37	0
7	1	13
7	2	7
7	3	15
7	4	1
7	5	10
7	6	10
7	7	5
7	8	7
7	9	22
7	10	14
7	11	22
7	12	10
7	13	7
7	14	10
7	15	5
7	16	3
7	17	31
7	18	13
7	19	5
7	20	8
7	21	4
7	22	9
7	23	3
7	24	11
7	25	7
7	26	15
7	27	16
7	28	11
7	29	12
7	30	10
7	31	6
7	32	7
7	33	12
7	34	4
7	35	2
7	36	0
7	37	0
