day	hour	value
1	1	112
1	2	68
1	3	82
1	4	92
1	5	44
1	6	62
1	7	68
1	8	87
1	9	247
1	10	133
1	11	122
1	12	216
1	13	107
1	14	90
1	15	39
1	16	42
1	17	221
1	18	207
1	19	143
1	20	87
1	21	112
1	22	188
1	23	92
1	24	169
1	25	62
1	26	423
1	27	365
1	28	66
1	29	88
1	30	104
1	31	190
1	32	86
1	33	134
1	34	180
1	35	101
1	36	0
1	37	0
2	1	101
2	2	65
2	3	67
2	4	59
2	5	34
2	6	61
2	7	65
2	8	73
2	9	207
2	10	118
2	11	100
2	12	189
2	13	102
2	14	86
2	15	19
2	16	40
2	17	177
2	18	165
2	19	120
2	20	87
2	21	94
2	22	168
2	23	73
2	24	161
2	25	38
2	26	364
2	27	377
2	28	48
2	29	80
2	30	83
2	31	158
2	32	62
2	33	113
2	34	160
2	35	97
2	36	0
2	37	0
3	1	102
3	2	60
3	3	56
3	4	67
3	5	33
3	6	57
3	7	53
3	8	81
3	9	182
3	10	113
3	11	98
3	12	199
3	13	121
3	14	85
3	15	31
3	16	26
3	17	197
3	18	190
3	19	116
3	20	111
3	21	107
3	22	163
3	23	62
3	24	158
3	25	43
3	26	342
3	27	340
3	28	64
3	29	77
3	30	80
3	31	172
3	32	77
3	33	108
3	34	136
3	35	108
3	36	0
3	37	0
4	1	102
4	2	61
4	3	77
4	4	71
4	5	48
4	6	67
4	7	66
4	8	76
4	9	201
4	10	109
4	11	104
4	12	190
4	13	100
4	14	90
4	15	22
4	16	38
4	17	176
4	18	179
4	19	91
4	20	123
4	21	121
4	22	171
4	23	72
4	24	161
4	25	45
4	26	342
4	27	373
4	28	63
4	29	72
4	30	92
4	31	170
4	32	74
4	33	100
4	34	161
4	35	99
4	36	0
4	37	2
5	1	80
5	2	47
5	3	60
5	4	54
5	5	45
5	6	53
5	7	69
5	8	87
5	9	145
5	10	120
5	11	114
5	12	129
5	13	99
5	14	84
5	15	21
5	16	38
5	17	164
5	18	174
5	19	120
5	20	117
5	21	100
5	22	140
5	23	62
5	24	130
5	25	31
5	26	252
5	27	327
5	28	53
5	29	71
5	30	99
5	31	164
5	32	75
5	33	85
5	34	131
5	35	80
5	36	0
5	37	0
6	1	42
6	2	18
6	3	26
6	4	16
6	5	32
6	6	18
6	7	37
6	8	37
6	9	80
6	10	33
6	11	63
6	12	18
6	13	33
6	14	32
6	15	15
6	16	18
6	17	90
6	18	62
6	19	16
6	20	15
6	21	31
6	22	28
6	23	21
6	24	42
6	25	25
6	26	41
6	27	60
6	28	34
6	29	36
6	30	48
6	31	64
6	32	28
6	33	43
6	34	41
6	35	27
6	36	0
6	37	0
7	1	34
7	2	10
7	3	19
7	4	8
7	5	28
7	6	10
7	7	18
7	8	13
7	9	70
7	10	32
7	11	53
7	12	23
7	13	22
7	14	30
7	15	14
7	16	7
7	17	102
7	18	42
7	19	14
7	20	5
7	21	23
7	22	22
7	23	22
7	24	45
7	25	12
7	26	24
7	27	39
7	28	28
7	29	27
7	30	38
7	31	36
7	32	17
7	33	44
7	34	19
7	35	9
7	36	0
7	37	0
