day	hour	value
1	1	70
1	2	52
1	3	67
1	4	39
1	5	22
1	6	47
1	7	49
1	8	41
1	9	157
1	10	87
1	11	83
1	12	155
1	13	82
1	14	65
1	15	23
1	16	28
1	17	134
1	18	166
1	19	85
1	20	93
1	21	76
1	22	115
1	23	58
1	24	114
1	25	29
1	26	269
1	27	275
1	28	46
1	29	63
1	30	73
1	31	149
1	32	66
1	33	64
1	34	114
1	35	76
1	36	0
1	37	0
2	1	71
2	2	69
2	3	55
2	4	51
2	5	22
2	6	54
2	7	60
2	8	57
2	9	142
2	10	93
2	11	70
2	12	156
2	13	99
2	14	66
2	15	8
2	16	25
2	17	140
2	18	152
2	19	120
2	20	104
2	21	82
2	22	131
2	23	55
2	24	119
2	25	30
2	26	235
2	27	319
2	28	40
2	29	65
2	30	61
2	31	136
2	32	63
2	33	78
2	34	103
2	35	76
2	36	0
2	37	0
3	1	80
3	2	48
3	3	62
3	4	56
3	5	31
3	6	59
3	7	67
3	8	54
3	9	165
3	10	107
3	11	89
3	12	197
3	13	105
3	14	65
3	15	17
3	16	34
3	17	157
3	18	162
3	19	102
3	20	112
3	21	98
3	22	146
3	23	65
3	24	133
3	25	35
3	26	298
3	27	333
3	28	60
3	29	69
3	30	70
3	31	176
3	32	82
3	33	82
3	34	93
3	35	83
3	36	0
3	37	0
4	1	93
4	2	61
4	3	56
4	4	48
4	5	38
4	6	73
4	7	61
4	8	48
4	9	191
4	10	103
4	11	117
4	12	203
4	13	109
4	14	76
4	15	24
4	16	45
4	17	174
4	18	154
4	19	91
4	20	113
4	21	101
4	22	144
4	23	62
4	24	145
4	25	31
4	26	311
4	27	338
4	28	51
4	29	72
4	30	74
4	31	184
4	32	76
4	33	86
4	34	125
4	35	75
4	36	0
4	37	0
5	1	56
5	2	48
5	3	44
5	4	46
5	5	24
5	6	45
5	7	63
5	8	46
5	9	135
5	10	82
5	11	76
5	12	145
5	13	70
5	14	63
5	15	9
5	16	24
5	17	131
5	18	128
5	19	78
5	20	78
5	21	82
5	22	105
5	23	56
5	24	116
5	25	34
5	26	226
5	27	249
5	28	39
5	29	61
5	30	57
5	31	134
5	32	65
5	33	67
5	34	119
5	35	56
5	36	0
5	37	0
6	1	25
6	2	16
6	3	42
6	4	10
6	5	22
6	6	9
6	7	13
6	8	13
6	9	86
6	10	28
6	11	47
6	12	14
6	13	28
6	14	24
6	15	6
6	16	10
6	17	59
6	18	26
6	19	20
6	20	17
6	21	18
6	22	20
6	23	19
6	24	25
6	25	19
6	26	31
6	27	29
6	28	23
6	29	20
6	30	39
6	31	31
6	32	19
6	33	42
6	34	20
6	35	22
6	36	1
6	37	0
7	1	28
7	2	20
7	3	18
7	4	4
7	5	18
7	6	12
7	7	23
7	8	12
7	9	51
7	10	24
7	11	48
7	12	15
7	13	13
7	14	25
7	15	7
7	16	12
7	17	59
7	18	21
7	19	13
7	20	14
7	21	14
7	22	23
7	23	12
7	24	29
7	25	6
7	26	28
7	27	33
7	28	27
7	29	11
7	30	27
7	31	18
7	32	6
7	33	23
7	34	22
7	35	6
7	36	0
7	37	0
