day	hour	value
1	1	68
1	2	45
1	3	63
1	4	54
1	5	34
1	6	59
1	7	49
1	8	72
1	9	216
1	10	77
1	11	76
1	12	146
1	13	83
1	14	73
1	15	28
1	16	46
1	17	160
1	18	193
1	19	94
1	20	109
1	21	102
1	22	147
1	23	75
1	24	125
1	25	42
1	26	285
1	27	274
1	28	40
1	29	41
1	30	76
1	31	147
1	32	60
1	33	74
1	34	156
1	35	65
1	36	0
1	37	0
2	1	74
2	2	47
2	3	49
2	4	75
2	5	35
2	6	74
2	7	62
2	8	84
2	9	201
2	10	126
2	11	82
2	12	180
2	13	103
2	14	83
2	15	36
2	16	40
2	17	163
2	18	210
2	19	125
2	20	123
2	21	156
2	22	185
2	23	91
2	24	151
2	25	37
2	26	343
2	27	372
2	28	46
2	29	44
2	30	87
2	31	194
2	32	78
2	33	80
2	34	158
2	35	82
2	36	0
2	37	0
3	1	84
3	2	65
3	3	80
3	4	75
3	5	41
3	6	64
3	7	69
3	8	79
3	9	217
3	10	116
3	11	75
3	12	184
3	13	124
3	14	92
3	15	38
3	16	59
3	17	203
3	18	226
3	19	123
3	20	133
3	21	131
3	22	177
3	23	89
3	24	155
3	25	53
3	26	377
3	27	392
3	28	51
3	29	54
3	30	79
3	31	191
3	32	83
3	33	85
3	34	200
3	35	86
3	36	0
3	37	0
4	1	92
4	2	62
4	3	74
4	4	79
4	5	33
4	6	62
4	7	48
4	8	89
4	9	188
4	10	118
4	11	93
4	12	198
4	13	109
4	14	82
4	15	33
4	16	55
4	17	195
4	18	232
4	19	100
4	20	126
4	21	137
4	22	158
4	23	93
4	24	160
4	25	60
4	26	336
4	27	405
4	28	68
4	29	53
4	30	82
4	31	174
4	32	87
4	33	92
4	34	181
4	35	78
4	36	0
4	37	0
5	1	83
5	2	64
5	3	80
5	4	87
5	5	41
5	6	66
5	7	78
5	8	108
5	9	273
5	10	138
5	11	105
5	12	195
5	13	126
5	14	83
5	15	46
5	16	42
5	17	214
5	18	270
5	19	104
5	20	118
5	21	136
5	22	166
5	23	80
5	24	187
5	25	65
5	26	348
5	27	422
5	28	86
5	29	69
5	30	88
5	31	199
5	32	92
5	33	116
5	34	195
5	35	97
5	36	0
5	37	0
6	1	53
6	2	21
6	3	33
6	4	5
6	5	41
6	6	30
6	7	15
6	8	18
6	9	116
6	10	19
6	11	62
6	12	25
6	13	23
6	14	15
6	15	29
6	16	21
6	17	117
6	18	82
6	19	19
6	20	20
6	21	24
6	22	36
6	23	22
6	24	55
6	25	31
6	26	48
6	27	48
6	28	38
6	29	46
6	30	56
6	31	58
6	32	9
6	33	46
6	34	23
6	35	17
6	36	0
6	37	0
7	1	41
7	2	11
7	3	29
7	4	8
7	5	27
7	6	14
7	7	13
7	8	14
7	9	102
7	10	21
7	11	50
7	12	17
7	13	21
7	14	26
7	15	22
7	16	17
7	17	92
7	18	64
7	19	16
7	20	17
7	21	15
7	22	30
7	23	34
7	24	31
7	25	25
7	26	38
7	27	41
7	28	26
7	29	22
7	30	28
7	31	33
7	32	6
7	33	49
7	34	39
7	35	19
7	36	0
7	37	0
