day	hour	value
1	1	108
1	2	70
1	3	76
1	4	89
1	5	40
1	6	65
1	7	69
1	8	84
1	9	253
1	10	122
1	11	102
1	12	184
1	13	129
1	14	94
1	15	43
1	16	51
1	17	180
1	18	246
1	19	142
1	20	138
1	21	125
1	22	204
1	23	96
1	24	164
1	25	41
1	26	475
1	27	388
1	28	56
1	29	84
1	30	74
1	31	258
1	32	91
1	33	90
1	34	187
1	35	84
1	36	0
1	37	0
2	1	100
2	2	56
2	3	88
2	4	90
2	5	41
2	6	68
2	7	62
2	8	91
2	9	242
2	10	136
2	11	93
2	12	228
2	13	134
2	14	96
2	15	29
2	16	59
2	17	179
2	18	235
2	19	136
2	20	134
2	21	139
2	22	185
2	23	109
2	24	164
2	25	49
2	26	414
2	27	427
2	28	57
2	29	72
2	30	90
2	31	258
2	32	100
2	33	104
2	34	208
2	35	89
2	36	1
2	37	0
3	1	133
3	2	66
3	3	95
3	4	101
3	5	52
3	6	76
3	7	75
3	8	118
3	9	300
3	10	152
3	11	113
3	12	218
3	13	157
3	14	110
3	15	44
3	16	77
3	17	214
3	18	293
3	19	167
3	20	146
3	21	148
3	22	243
3	23	120
3	24	202
3	25	77
3	26	508
3	27	491
3	28	86
3	29	73
3	30	105
3	31	296
3	32	112
3	33	97
3	34	231
3	35	106
3	36	0
3	37	0
4	1	129
4	2	77
4	3	103
4	4	112
4	5	40
4	6	74
4	7	89
4	8	109
4	9	311
4	10	168
4	11	133
4	12	248
4	13	153
4	14	113
4	15	42
4	16	76
4	17	235
4	18	279
4	19	140
4	20	183
4	21	138
4	22	225
4	23	109
4	24	203
4	25	61
4	26	501
4	27	466
4	28	85
4	29	100
4	30	106
4	31	280
4	32	121
4	33	132
4	34	225
4	35	105
4	36	1
4	37	0
5	1	85
5	2	47
5	3	64
5	4	82
5	5	54
5	6	59
5	7	57
5	8	90
5	9	252
5	10	97
5	11	104
5	12	172
5	13	108
5	14	76
5	15	39
5	16	52
5	17	197
5	18	223
5	19	109
5	20	99
5	21	110
5	22	148
5	23	81
5	24	156
5	25	50
5	26	355
5	27	306
5	28	60
5	29	66
5	30	85
5	31	182
5	32	85
5	33	84
5	34	174
5	35	73
5	36	0
5	37	5
6	1	61
6	2	19
6	3	36
6	4	7
6	5	30
6	6	17
6	7	22
6	8	18
6	9	108
6	10	30
6	11	70
6	12	17
6	13	19
6	14	21
6	15	22
6	16	13
6	17	113
6	18	62
6	19	17
6	20	15
6	21	25
6	22	25
6	23	38
6	24	46
6	25	29
6	26	42
6	27	25
6	28	28
6	29	37
6	30	42
6	31	37
6	32	15
6	33	51
6	34	36
6	35	17
6	36	0
6	37	0
7	1	32
7	2	14
7	3	31
7	4	8
7	5	17
7	6	20
7	7	21
7	8	9
7	9	56
7	10	31
7	11	73
7	12	7
7	13	8
7	14	31
7	15	16
7	16	9
7	17	107
7	18	49
7	19	12
7	20	14
7	21	15
7	22	15
7	23	17
7	24	32
7	25	20
7	26	34
7	27	34
7	28	32
7	29	22
7	30	37
7	31	22
7	32	16
7	33	49
7	34	31
7	35	13
7	36	2
7	37	0
