day	hour	value
1	1	86
1	2	59
1	3	69
1	4	74
1	5	27
1	6	63
1	7	66
1	8	70
1	9	202
1	10	100
1	11	86
1	12	187
1	13	91
1	14	77
1	15	27
1	16	36
1	17	158
1	18	211
1	19	106
1	20	115
1	21	120
1	22	152
1	23	68
1	24	140
1	25	39
1	26	366
1	27	283
1	28	53
1	29	61
1	30	92
1	31	179
1	32	75
1	33	88
1	34	123
1	35	70
1	36	0
1	37	1
2	1	139
2	2	67
2	3	84
2	4	101
2	5	39
2	6	85
2	7	69
2	8	104
2	9	320
2	10	139
2	11	131
2	12	282
2	13	133
2	14	98
2	15	38
2	16	54
2	17	233
2	18	250
2	19	145
2	20	157
2	21	146
2	22	212
2	23	98
2	24	190
2	25	66
2	26	481
2	27	471
2	28	73
2	29	83
2	30	124
2	31	252
2	32	106
2	33	145
2	34	224
2	35	114
2	36	1
2	37	0
3	1	133
3	2	66
3	3	85
3	4	104
3	5	45
3	6	90
3	7	83
3	8	98
3	9	290
3	10	137
3	11	125
3	12	258
3	13	125
3	14	100
3	15	33
3	16	49
3	17	251
3	18	242
3	19	136
3	20	137
3	21	150
3	22	214
3	23	96
3	24	190
3	25	64
3	26	443
3	27	481
3	28	74
3	29	75
3	30	127
3	31	252
3	32	99
3	33	131
3	34	184
3	35	94
3	36	0
3	37	0
4	1	124
4	2	67
4	3	74
4	4	75
4	5	41
4	6	67
4	7	73
4	8	78
4	9	279
4	10	99
4	11	153
4	12	243
4	13	99
4	14	97
4	15	36
4	16	59
4	17	189
4	18	212
4	19	119
4	20	123
4	21	141
4	22	152
4	23	78
4	24	163
4	25	56
4	26	333
4	27	507
4	28	61
4	29	75
4	30	95
4	31	226
4	32	86
4	33	109
4	34	167
4	35	91
4	36	0
4	37	0
5	1	68
5	2	41
5	3	46
5	4	62
5	5	30
5	6	42
5	7	52
5	8	54
5	9	181
5	10	83
5	11	78
5	12	143
5	13	83
5	14	70
5	15	25
5	16	23
5	17	139
5	18	125
5	19	75
5	20	76
5	21	79
5	22	81
5	23	48
5	24	105
5	25	40
5	26	237
5	27	292
5	28	34
5	29	51
5	30	91
5	31	124
5	32	42
5	33	64
5	34	114
5	35	65
5	36	0
5	37	0
6	1	29
6	2	8
6	3	18
6	4	10
6	5	23
6	6	11
6	7	19
6	8	17
6	9	66
6	10	24
6	11	38
6	12	8
6	13	15
6	14	17
6	15	11
6	16	5
6	17	67
6	18	40
6	19	11
6	20	11
6	21	7
6	22	16
6	23	25
6	24	30
6	25	9
6	26	24
6	27	37
6	28	31
6	29	25
6	30	40
6	31	27
6	32	12
6	33	23
6	34	24
6	35	5
6	36	0
6	37	0
7	1	30
7	2	7
7	3	16
7	4	3
7	5	11
7	6	19
7	7	6
7	8	10
7	9	29
7	10	9
7	11	30
7	12	13
7	13	11
7	14	13
7	15	14
7	16	10
7	17	41
7	18	31
7	19	6
7	20	8
7	21	12
7	22	14
7	23	12
7	24	8
7	25	20
7	26	11
7	27	18
7	28	21
7	29	15
7	30	17
7	31	25
7	32	4
7	33	7
7	34	11
7	35	3
7	36	0
7	37	0
