day	hour	value
1	1	87
1	2	66
1	3	74
1	4	78
1	5	37
1	6	66
1	7	64
1	8	85
1	9	269
1	10	132
1	11	113
1	12	212
1	13	142
1	14	85
1	15	41
1	16	55
1	17	204
1	18	257
1	19	136
1	20	140
1	21	122
1	22	166
1	23	101
1	24	152
1	25	58
1	26	414
1	27	357
1	28	72
1	29	60
1	30	104
1	31	217
1	32	95
1	33	91
1	34	175
1	35	85
1	36	0
1	37	0
2	1	127
2	2	88
2	3	90
2	4	105
2	5	51
2	6	74
2	7	96
2	8	99
2	9	362
2	10	140
2	11	138
2	12	263
2	13	156
2	14	98
2	15	48
2	16	76
2	17	248
2	18	316
2	19	173
2	20	166
2	21	156
2	22	232
2	23	103
2	24	202
2	25	59
2	26	483
2	27	519
2	28	77
2	29	93
2	30	133
2	31	308
2	32	119
2	33	118
2	34	234
2	35	109
2	36	0
2	37	0
3	1	85
3	2	63
3	3	80
3	4	84
3	5	36
3	6	56
3	7	62
3	8	69
3	9	262
3	10	126
3	11	103
3	12	216
3	13	116
3	14	78
3	15	33
3	16	47
3	17	206
3	18	239
3	19	130
3	20	151
3	21	133
3	22	185
3	23	91
3	24	167
3	25	49
3	26	419
3	27	398
3	28	62
3	29	52
3	30	98
3	31	242
3	32	95
3	33	106
3	34	160
3	35	94
3	36	0
3	37	0
4	1	94
4	2	65
4	3	78
4	4	85
4	5	67
4	6	84
4	7	80
4	8	82
4	9	264
4	10	103
4	11	121
4	12	230
4	13	138
4	14	87
4	15	44
4	16	67
4	17	221
4	18	237
4	19	122
4	20	135
4	21	118
4	22	170
4	23	102
4	24	157
4	25	59
4	26	325
4	27	465
4	28	72
4	29	66
4	30	89
4	31	245
4	32	90
4	33	100
4	34	169
4	35	97
4	36	0
4	37	0
5	1	80
5	2	51
5	3	65
5	4	81
5	5	43
5	6	48
5	7	63
5	8	70
5	9	236
5	10	112
5	11	118
5	12	164
5	13	93
5	14	68
5	15	29
5	16	46
5	17	165
5	18	199
5	19	125
5	20	97
5	21	105
5	22	126
5	23	78
5	24	137
5	25	50
5	26	294
5	27	354
5	28	55
5	29	49
5	30	96
5	31	181
5	32	71
5	33	82
5	34	152
5	35	82
5	36	0
5	37	1
6	1	47
6	2	18
6	3	19
6	4	9
6	5	32
6	6	15
6	7	24
6	8	23
6	9	104
6	10	25
6	11	55
6	12	16
6	13	18
6	14	16
6	15	19
6	16	14
6	17	102
6	18	51
6	19	13
6	20	13
6	21	14
6	22	43
6	23	31
6	24	31
6	25	24
6	26	35
6	27	41
6	28	31
6	29	21
6	30	49
6	31	39
6	32	6
6	33	51
6	34	30
6	35	18
6	36	0
6	37	2
7	1	35
7	2	25
7	3	31
7	4	7
7	5	42
7	6	26
7	7	34
7	8	27
7	9	119
7	10	35
7	11	67
7	12	17
7	13	20
7	14	30
7	15	19
7	16	27
7	17	101
7	18	63
7	19	18
7	20	18
7	21	12
7	22	29
7	23	39
7	24	42
7	25	43
7	26	43
7	27	47
7	28	35
7	29	20
7	30	33
7	31	37
7	32	15
7	33	25
7	34	26
7	35	28
7	36	0
7	37	0
