day	hour	value
1	1	85
1	2	79
1	3	99
1	4	82
1	5	27
1	6	72
1	7	70
1	8	59
1	9	248
1	10	125
1	11	134
1	12	235
1	13	123
1	14	59
1	15	32
1	16	47
1	17	194
1	18	213
1	19	127
1	20	141
1	21	128
1	22	216
1	23	59
1	24	140
1	25	62
1	26	340
1	27	373
1	28	65
1	29	87
1	30	97
1	31	237
1	32	97
1	33	119
1	34	196
1	35	88
1	36	0
1	37	0
2	1	104
2	2	66
2	3	87
2	4	75
2	5	29
2	6	78
2	7	49
2	8	70
2	9	202
2	10	113
2	11	97
2	12	226
2	13	122
2	14	63
2	15	25
2	16	51
2	17	185
2	18	212
2	19	103
2	20	114
2	21	123
2	22	202
2	23	79
2	24	132
2	25	32
2	26	359
2	27	395
2	28	67
2	29	81
2	30	98
2	31	216
2	32	71
2	33	88
2	34	185
2	35	93
2	36	0
2	37	0
3	1	75
3	2	50
3	3	74
3	4	79
3	5	29
3	6	58
3	7	59
3	8	69
3	9	228
3	10	87
3	11	108
3	12	210
3	13	80
3	14	53
3	15	20
3	16	47
3	17	142
3	18	180
3	19	124
3	20	109
3	21	111
3	22	177
3	23	54
3	24	113
3	25	48
3	26	297
3	27	346
3	28	63
3	29	66
3	30	102
3	31	230
3	32	83
3	33	88
3	34	166
3	35	81
3	36	1
3	37	0
4	1	83
4	2	57
4	3	65
4	4	60
4	5	32
4	6	45
4	7	49
4	8	54
4	9	200
4	10	95
4	11	95
4	12	184
4	13	91
4	14	55
4	15	20
4	16	35
4	17	130
4	18	140
4	19	102
4	20	83
4	21	96
4	22	161
4	23	62
4	24	114
4	25	37
4	26	261
4	27	319
4	28	62
4	29	62
4	30	82
4	31	186
4	32	77
4	33	103
4	34	115
4	35	70
4	36	0
4	37	0
5	1	84
5	2	54
5	3	72
5	4	70
5	5	33
5	6	59
5	7	51
5	8	60
5	9	179
5	10	93
5	11	108
5	12	156
5	13	81
5	14	68
5	15	20
5	16	33
5	17	141
5	18	151
5	19	70
5	20	94
5	21	98
5	22	145
5	23	67
5	24	120
5	25	32
5	26	247
5	27	253
5	28	58
5	29	62
5	30	94
5	31	157
5	32	64
5	33	96
5	34	137
5	35	61
5	36	0
5	37	0
6	1	44
6	2	13
6	3	34
6	4	6
6	5	17
6	6	19
6	7	9
6	8	21
6	9	86
6	10	23
6	11	60
6	12	20
6	13	25
6	14	20
6	15	19
6	16	20
6	17	88
6	18	43
6	19	10
6	20	13
6	21	19
6	22	35
6	23	15
6	24	36
6	25	17
6	26	17
6	27	23
6	28	27
6	29	36
6	30	52
6	31	29
6	32	17
6	33	50
6	34	26
6	35	17
6	36	0
6	37	0
7	1	29
7	2	12
7	3	30
7	4	13
7	5	25
7	6	19
7	7	19
7	8	8
7	9	51
7	10	35
7	11	46
7	12	25
7	13	16
7	14	10
7	15	13
7	16	15
7	17	55
7	18	55
7	19	12
7	20	13
7	21	14
7	22	29
7	23	20
7	24	29
7	25	22
7	26	33
7	27	45
7	28	40
7	29	33
7	30	45
7	31	22
7	32	9
7	33	53
7	34	30
7	35	11
7	36	0
7	37	0
