day	hour	value
1	1	105
1	2	77
1	3	98
1	4	93
1	5	25
1	6	69
1	7	80
1	8	82
1	9	248
1	10	115
1	11	107
1	12	224
1	13	129
1	14	79
1	15	24
1	16	54
1	17	205
1	18	265
1	19	114
1	20	125
1	21	99
1	22	209
1	23	59
1	24	148
1	25	50
1	26	345
1	27	333
1	28	52
1	29	100
1	30	94
1	31	260
1	32	93
1	33	154
1	34	195
1	35	94
1	36	0
1	37	0
2	1	126
2	2	83
2	3	83
2	4	104
2	5	30
2	6	80
2	7	77
2	8	86
2	9	261
2	10	149
2	11	122
2	12	272
2	13	122
2	14	92
2	15	37
2	16	56
2	17	209
2	18	216
2	19	135
2	20	117
2	21	144
2	22	237
2	23	73
2	24	154
2	25	51
2	26	399
2	27	396
2	28	78
2	29	110
2	30	114
2	31	253
2	32	86
2	33	145
2	34	200
2	35	90
2	36	0
2	37	0
3	1	134
3	2	81
3	3	104
3	4	103
3	5	25
3	6	63
3	7	86
3	8	63
3	9	262
3	10	135
3	11	131
3	12	247
3	13	114
3	14	86
3	15	21
3	16	58
3	17	194
3	18	189
3	19	134
3	20	137
3	21	128
3	22	218
3	23	92
3	24	162
3	25	68
3	26	374
3	27	397
3	28	62
3	29	81
3	30	133
3	31	251
3	32	100
3	33	146
3	34	197
3	35	83
3	36	0
3	37	0
4	1	160
4	2	95
4	3	119
4	4	114
4	5	39
4	6	80
4	7	91
4	8	107
4	9	307
4	10	159
4	11	156
4	12	314
4	13	152
4	14	105
4	15	26
4	16	77
4	17	231
4	18	246
4	19	167
4	20	157
4	21	168
4	22	277
4	23	83
4	24	193
4	25	55
4	26	471
4	27	468
4	28	85
4	29	120
4	30	164
4	31	313
4	32	134
4	33	155
4	34	245
4	35	118
4	36	0
4	37	0
5	1	135
5	2	89
5	3	99
5	4	113
5	5	50
5	6	90
5	7	80
5	8	86
5	9	292
5	10	163
5	11	157
5	12	274
5	13	144
5	14	101
5	15	41
5	16	62
5	17	288
5	18	243
5	19	146
5	20	144
5	21	139
5	22	213
5	23	111
5	24	171
5	25	60
5	26	404
5	27	415
5	28	71
5	29	116
5	30	143
5	31	285
5	32	128
5	33	150
5	34	232
5	35	108
5	36	0
5	37	1
6	1	75
6	2	24
6	3	45
6	4	7
6	5	31
6	6	23
6	7	48
6	8	37
6	9	98
6	10	24
6	11	75
6	12	22
6	13	35
6	14	31
6	15	8
6	16	24
6	17	96
6	18	66
6	19	26
6	20	19
6	21	20
6	22	61
6	23	21
6	24	42
6	25	23
6	26	54
6	27	54
6	28	38
6	29	34
6	30	73
6	31	59
6	32	19
6	33	55
6	34	35
6	35	28
6	36	0
6	37	0
7	1	45
7	2	27
7	3	25
7	4	14
7	5	29
7	6	18
7	7	34
7	8	20
7	9	38
7	10	26
7	11	58
7	12	13
7	13	26
7	14	22
7	15	15
7	16	16
7	17	139
7	18	40
7	19	13
7	20	19
7	21	21
7	22	40
7	23	19
7	24	29
7	25	26
7	26	29
7	27	34
7	28	45
7	29	28
7	30	46
7	31	50
7	32	21
7	33	58
7	34	48
7	35	14
7	36	0
7	37	0
