day	hour	value
1	1	87
1	2	68
1	3	83
1	4	60
1	5	33
1	6	55
1	7	72
1	8	65
1	9	205
1	10	108
1	11	81
1	12	186
1	13	97
1	14	69
1	15	36
1	16	36
1	17	185
1	18	172
1	19	103
1	20	104
1	21	88
1	22	167
1	23	50
1	24	122
1	25	47
1	26	289
1	27	299
1	28	58
1	29	82
1	30	62
1	31	216
1	32	73
1	33	107
1	34	141
1	35	85
1	36	0
1	37	0
2	1	136
2	2	122
2	3	139
2	4	121
2	5	55
2	6	88
2	7	119
2	8	104
2	9	313
2	10	201
2	11	142
2	12	341
2	13	172
2	14	106
2	15	37
2	16	74
2	17	267
2	18	302
2	19	170
2	20	172
2	21	175
2	22	271
2	23	104
2	24	187
2	25	88
2	26	528
2	27	446
2	28	91
2	29	143
2	30	101
2	31	300
2	32	135
2	33	161
2	34	249
2	35	127
2	36	0
2	37	1
3	1	134
3	2	103
3	3	129
3	4	110
3	5	44
3	6	86
3	7	107
3	8	107
3	9	308
3	10	155
3	11	125
3	12	287
3	13	162
3	14	107
3	15	39
3	16	65
3	17	241
3	18	312
3	19	154
3	20	148
3	21	114
3	22	260
3	23	107
3	24	177
3	25	66
3	26	464
3	27	469
3	28	81
3	29	95
3	30	138
3	31	320
3	32	102
3	33	158
3	34	219
3	35	124
3	36	0
3	37	1
4	1	117
4	2	81
4	3	96
4	4	118
4	5	43
4	6	64
4	7	100
4	8	73
4	9	253
4	10	130
4	11	110
4	12	236
4	13	133
4	14	99
4	15	26
4	16	61
4	17	195
4	18	222
4	19	122
4	20	133
4	21	130
4	22	206
4	23	75
4	24	142
4	25	61
4	26	379
4	27	360
4	28	64
4	29	95
4	30	103
4	31	260
4	32	104
4	33	142
4	34	172
4	35	115
4	36	0
4	37	0
5	1	118
5	2	75
5	3	71
5	4	87
5	5	38
5	6	60
5	7	85
5	8	66
5	9	224
5	10	120
5	11	121
5	12	221
5	13	104
5	14	98
5	15	29
5	16	53
5	17	214
5	18	204
5	19	102
5	20	91
5	21	126
5	22	155
5	23	68
5	24	153
5	25	55
5	26	346
5	27	309
5	28	70
5	29	78
5	30	125
5	31	230
5	32	105
5	33	130
5	34	168
5	35	100
5	36	0
5	37	1
6	1	49
6	2	27
6	3	41
6	4	18
6	5	27
6	6	31
6	7	36
6	8	28
6	9	112
6	10	23
6	11	48
6	12	28
6	13	33
6	14	26
6	15	6
6	16	24
6	17	118
6	18	77
6	19	13
6	20	22
6	21	23
6	22	33
6	23	23
6	24	55
6	25	15
6	26	30
6	27	42
6	28	42
6	29	32
6	30	54
6	31	61
6	32	26
6	33	59
6	34	30
6	35	22
6	36	0
6	37	0
7	1	51
7	2	21
7	3	21
7	4	11
7	5	20
7	6	21
7	7	34
7	8	14
7	9	83
7	10	33
7	11	55
7	12	31
7	13	35
7	14	28
7	15	14
7	16	11
7	17	84
7	18	56
7	19	21
7	20	19
7	21	19
7	22	29
7	23	28
7	24	51
7	25	14
7	26	39
7	27	35
7	28	42
7	29	26
7	30	44
7	31	32
7	32	17
7	33	56
7	34	30
7	35	11
7	36	0
7	37	0
