Date,Trips_count,Weekdays,Temperature,Holiday,Weather,M_Average
2015/9/1,1254,Tuesday,23.9,normal,normal,994.4
2015/9/2,1182,Wednesday,22.8,normal,normal,796.2
2015/9/3,1183,Thursday,21.1,normal,normal,872.5
2015/9/4,1003,Friday,22.2,normal,normal,789.7142857
2015/9/5,350,Saturday,26.1,normal,normal,782
2015/9/6,263,Sunday,28.9,normal,normal,797.7142857
2015/9/7,293,Monday,32.8,normal,normal,801.7142857
2015/9/8,1200,Tuesday,35,normal,normal,809.4285714
2015/9/9,1292,Wednesday,33.9,normal,normal,806.1428571
2015/9/10,1211,Thursday,31.7,normal,normal,807.2857143
2015/9/11,1057,Friday,26.1,normal,normal,917.2857143
2015/9/12,327,Saturday,23.9,normal,normal,931.7142857
2015/9/13,271,Sunday,24.4,normal,Rain,908.1428571
2015/9/14,1063,Monday,22.8,normal,normal,905.1428571
2015/9/15,1301,Tuesday,21.1,normal,normal,917.1428571
2015/9/16,1127,Wednesday,22.8,normal,Rain,920.2857143
2015/9/17,1190,Thursday,22.8,normal,normal,922.8571429
2015/9/18,1141,Friday,26.1,normal,normal,946.4285714
2015/9/19,349,Saturday,31.1,normal,normal,938.1428571
2015/9/20,289,Sunday,32.8,normal,normal,936.7142857
2015/9/21,1228,Monday,32.8,normal,normal,943.2857143
2015/9/22,1243,Tuesday,18.9,normal,normal,951.5714286
2015/9/23,1117,Wednesday,24.4,normal,normal,945.7142857
2015/9/24,1236,Thursday,31.7,normal,normal,949.1428571
2015/9/25,1199,Friday,23.9,normal,normal,946.1428571
2015/9/26,308,Saturday,23.3,normal,normal,952.8571429
2015/9/27,313,Sunday,22.8,normal,Fog,950.4285714
2015/9/28,1207,Monday,21.1,normal,normal,939.1428571
2015/9/29,1290,Tuesday,20,normal,normal,925.7142857
2015/9/30,1100,Wednesday,18.3,normal,Rain,919.4285714
2015/10/1,1157,Thursday,22.8,normal,normal,915.2857143
2015/10/2,1105,Friday,23.3,normal,normal,912
2015/10/3,264,Saturday,21.7,normal,normal,900.8571429
2015/10/4,284,Sunday,22.8,normal,normal,919.8571429
2015/10/5,1184,Monday,24.4,normal,normal,921.5714286
2015/10/6,1212,Tuesday,23.9,normal,normal,918.2857143
2015/10/7,1233,Wednesday,24.4,normal,normal,932.2857143
2015/10/8,1169,Thursday,27.8,normal,normal,947.8571429
2015/10/9,1082,Friday,26.7,normal,normal,930.2857143
2015/10/10,362,Saturday,22.2,normal,Fog,940.7142857
2015/10/11,393,Sunday,24.4,normal,normal,945.2857143
2015/10/12,1061,Monday,29.4,normal,normal,943.5714286
2015/10/13,1285,Tuesday,31.1,normal,normal,944.2857143
2015/10/14,1265,Wednesday,25.6,normal,Fog,929.5714286
2015/10/15,1157,Thursday,21.1,normal,Rain,903.5714286
2015/10/16,1087,Friday,23.3,normal,normal,922.4285714
2015/10/17,259,Saturday,21.7,normal,normal,925.5714286
2015/10/18,211,Sunday,21.7,normal,normal,918.4285714
2015/10/19,1193,Monday,21.1,normal,normal,930
2015/10/20,1307,Tuesday,26.7,normal,normal,933.5714286
2015/10/21,1215,Wednesday,25,normal,normal,939.8571429
2015/10/22,1238,Thursday,22.8,normal,normal,946.4285714
2015/10/23,1112,Friday,23.9,normal,Fog,942.4285714
2015/10/24,303,Saturday,23.9,normal,Fog,924.7142857
2015/10/25,257,Sunday,21.1,normal,normal,914.8571429
2015/10/26,1165,Monday,23.9,normal,normal,913.7142857
2015/10/27,1183,Tuesday,22.2,normal,normal,920.2857143
