Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike id,step_id,hour,min,
574,9/1/2015 1:33,Steuart at Market,74,9/1/2015 1:42,San Francisco Caltrain 2 (330 Townsend),69,279,9,1,33,
577,9/1/2015 6:11,Embarcadero at Sansome,60,9/1/2015 6:21,2nd at Townsend,61,502,37,6,11,
509,9/1/2015 6:22,Harry Bridges Plaza (Ferry Building),50,9/1/2015 6:30,2nd at Townsend,61,413,38,6,22,
189,9/1/2015 6:31,2nd at Townsend,61,9/1/2015 6:35,San Francisco Caltrain 2 (330 Townsend),69,413,39,6,31,
647,9/1/2015 6:34,Harry Bridges Plaza (Ferry Building),50,9/1/2015 6:45,San Francisco Caltrain 2 (330 Townsend),69,620,39,6,34,
270,9/1/2015 6:47,2nd at Townsend,61,9/1/2015 6:51,San Francisco Caltrain (Townsend at 4th),70,502,40,6,47,
795,9/1/2015 6:47,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:00,Steuart at Market,74,500,40,6,47,
959,9/1/2015 6:48,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 7:04,Embarcadero at Sansome,60,137,40,6,48,
1032,9/1/2015 7:06,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:23,Embarcadero at Sansome,60,277,42,7,6,
535,9/1/2015 7:08,Harry Bridges Plaza (Ferry Building),50,9/1/2015 7:17,Embarcadero at Sansome,60,509,42,7,8,
820,9/1/2015 7:09,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 7:22,Harry Bridges Plaza (Ferry Building),50,432,42,7,9,
451,9/1/2015 7:11,Embarcadero at Sansome,60,9/1/2015 7:19,Harry Bridges Plaza (Ferry Building),50,385,43,7,11,
663,9/1/2015 7:12,Harry Bridges Plaza (Ferry Building),50,9/1/2015 7:23,San Francisco Caltrain (Townsend at 4th),70,56,43,7,12,
864,9/1/2015 7:16,Embarcadero at Sansome,60,9/1/2015 7:30,San Francisco Caltrain (Townsend at 4th),70,613,43,7,16,
452,9/1/2015 7:18,Steuart at Market,74,9/1/2015 7:25,2nd at Townsend,61,352,43,7,18,
363,9/1/2015 7:36,Embarcadero at Sansome,60,9/1/2015 7:42,Harry Bridges Plaza (Ferry Building),50,355,45,7,36,
607,9/1/2015 7:42,Harry Bridges Plaza (Ferry Building),50,9/1/2015 7:52,2nd at Townsend,61,625,46,7,42,
563,9/1/2015 7:48,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 7:57,Harry Bridges Plaza (Ferry Building),50,259,46,7,48,
767,9/1/2015 7:49,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 8:02,Steuart at Market,74,613,46,7,49,
748,9/1/2015 7:52,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 8:05,Harry Bridges Plaza (Ferry Building),50,450,47,7,52,
694,9/1/2015 7:56,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 8:07,Steuart at Market,74,267,47,7,56,
524,9/1/2015 8:03,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:12,2nd at Townsend,61,259,48,8,3,
547,9/1/2015 8:07,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:16,2nd at Townsend,61,427,48,8,7,
573,9/1/2015 8:12,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 8:21,Steuart at Market,74,652,49,8,12,
742,9/1/2015 8:12,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 8:25,Harry Bridges Plaza (Ferry Building),50,66,49,8,12,
745,9/1/2015 8:13,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:26,Embarcadero at Sansome,60,583,49,8,13,
327,9/1/2015 8:17,2nd at Townsend,61,9/1/2015 8:22,San Francisco Caltrain (Townsend at 4th),70,427,49,8,17,
475,9/1/2015 8:17,2nd at Townsend,61,9/1/2015 8:25,Steuart at Market,74,259,49,8,17,
623,9/1/2015 8:22,2nd at Townsend,61,9/1/2015 8:33,Steuart at Market,74,482,50,8,22,
491,9/1/2015 8:24,Steuart at Market,74,9/1/2015 8:32,2nd at Townsend,61,613,50,8,24,
387,9/1/2015 8:24,Steuart at Market,74,9/1/2015 8:30,Embarcadero at Sansome,60,267,50,8,24,
533,9/1/2015 8:25,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:34,2nd at Townsend,61,318,50,8,25,
539,9/1/2015 8:26,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:35,2nd at Townsend,61,601,50,8,26,
697,9/1/2015 8:29,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 8:41,Harry Bridges Plaza (Ferry Building),50,687,50,8,29,
1351,9/1/2015 8:30,Steuart at Market,74,9/1/2015 8:53,2nd at Townsend,61,652,51,8,30,
506,9/1/2015 8:30,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:39,2nd at Townsend,61,609,51,8,30,
428,9/1/2015 8:30,Embarcadero at Sansome,60,9/1/2015 8:38,Steuart at Market,74,137,51,8,30,
549,9/1/2015 8:37,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:46,2nd at Townsend,61,313,51,8,37,
356,9/1/2015 8:37,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:43,Embarcadero at Sansome,60,260,51,8,37,
348,9/1/2015 8:43,Steuart at Market,74,9/1/2015 8:49,Embarcadero at Sansome,60,259,52,8,43,
408,9/1/2015 8:44,Embarcadero at Sansome,60,9/1/2015 8:50,Steuart at Market,74,287,52,8,44,
328,9/1/2015 8:44,Steuart at Market,74,9/1/2015 8:49,Embarcadero at Sansome,60,315,52,8,44,
760,9/1/2015 8:48,Harry Bridges Plaza (Ferry Building),50,9/1/2015 9:00,San Francisco Caltrain (Townsend at 4th),70,366,52,8,48,
473,9/1/2015 8:49,Steuart at Market,74,9/1/2015 8:57,2nd at Townsend,61,284,52,8,49,
576,9/1/2015 8:49,Harry Bridges Plaza (Ferry Building),50,9/1/2015 8:59,2nd at Townsend,61,493,52,8,49,
235,9/1/2015 8:49,2nd at Townsend,61,9/1/2015 8:53,San Francisco Caltrain (Townsend at 4th),70,376,52,8,49,
512,9/1/2015 8:50,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 8:58,Harry Bridges Plaza (Ferry Building),50,572,53,8,50,
372,9/1/2015 8:57,Embarcadero at Sansome,60,9/1/2015 9:03,Steuart at Market,74,259,53,8,57,
468,9/1/2015 8:59,Harry Bridges Plaza (Ferry Building),50,9/1/2015 9:06,2nd at Townsend,61,572,53,8,59,
556,9/1/2015 9:00,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 9:09,Steuart at Market,74,619,54,9,0,
454,9/1/2015 9:01,Harry Bridges Plaza (Ferry Building),50,9/1/2015 9:08,2nd at Townsend,61,528,54,9,1,
605,9/1/2015 9:03,Steuart at Market,74,9/1/2015 9:13,San Francisco Caltrain 2 (330 Townsend),69,191,54,9,3,
